n,error
528,-0.820292
529,-0.00021341
530,-0.000210732
531,-0.000208069
532,-0.00020542
533,-0.000202787
534,-0.811061
535,-0.809543
536,-0.80803
537,-0.806524
538,-0.00018984
539,-0.803527
540,-0.802036
541,-0.800552
542,-0.000179739
543,-0.000177249
544,-0.000174772
545,-0.000172309
546,-0.79321
547,-0.791758
548,-0.790311
549,-0.000162591
550,-0.000160195
551,-0.786001
552,-0.784575
553,-0.783155
554,-0.781739
555,-0.780328
556,-0.778923
557,-0.00014378
558,-0.776127
559,-0.774736
560,-0.000136933
561,-0.000134675
562,-0.000132429
563,-0.769224
564,-0.000127973
565,-0.766497
566,-0.000123563
567,-0.76379
568,-0.000119201
569,-0.000117037
570,-0.759764
571,-0.000112743
572,-0.000110613
573,-0.000108494
574,-0.754462
575,-0.753147
576,-0.751838
577,-0.750533
578,-9.8063e-05
579,-9.60092e-05
580,-9.39661e-05
581,-0.745358
582,-0.744076
583,-0.742798
584,-8.58981e-05
585,-0.740255
586,-0.738989
587,-0.737729
588,-0.736472
589,-0.73522
590,-0.733972
591,-7.21715e-05
592,-7.02502e-05
593,-6.83386e-05
594,-0.729022
595,-0.727795
596,-0.726572
597,-0.725354
598,-5.8924e-05
599,-0.722928
600,-0.721722
601,-0.720519
602,-5.15607e-05
603,-0.718126
604,-4.79337e-05
605,-4.61337e-05
606,-4.43426e-05
607,-4.25604e-05
608,-0.712212
609,-3.90222e-05
610,-0.709873
611,-0.70871
612,-0.70755
613,-3.20494e-05
614,-0.705242
615,-2.86139e-05
616,-0.702949
617,-2.52118e-05
618,-2.35231e-05
619,-2.18426e-05
620,-2.01702e-05
621,-1.85059e-05
622,-0.696158
623,-1.52013e-05
624,-1.35609e-05
625,-1.19284e-05
626,-1.03037e-05
627,-0.690599
628,-7.07747e-06
629,-0.688399
630,-0.687305
631,-2.29558e-06
632,-0.685127
633,-0.684043
634,-0.682963
635,-0.681886
636,5.52436e-06
637,7.06629e-06
638,8.60098e-06
639,-0.677611
640,1.16488e-05
641,-0.675494
642,1.46682e-05
643,1.61673e-05
644,1.76595e-05
645,1.91447e-05
646,2.0623e-05
647,-0.66922
648,-0.668186
649,2.50171e-05
650,-0.666127
651,-0.665102
652,-0.664081
653,-0.663062
654,3.22066e-05
655,-0.661035
656,3.50365e-05
657,3.64417e-05
658,3.78406e-05
659,3.92331e-05
660,4.06193e-05
661,4.19991e-05
662,4.33728e-05
663,-0.653047
664,4.61014e-05
665,-0.65108
666,-0.650101
667,-0.649125
668,-0.648152
669,-0.647182
670,-0.646214
671,5.54604e-05
672,5.67736e-05
673,-0.643329
674,5.93824e-05
675,-0.641421
676,6.19681e-05
677,-0.639523
678,6.4531e-05
679,-0.637636
680,-0.636697
681,-0.635761
682,-0.634828
683,7.084e-05
684,7.20852e-05
685,7.33249e-05
686,-0.631121
687,-0.630201
688,-0.629283
689,7.82301e-05
690,7.94431e-05
691,-0.626547
692,8.18534e-05
693,8.30506e-05
694,8.42428e-05
695,-0.622936
696,8.66116e-05
697,8.77884e-05
698,8.89601e-05
699,9.01268e-05
700,-0.61848
701,9.24453e-05
702,-0.616715
703,-0.615837
704,9.5886e-05
705,-0.614087
706,-0.613216
707,-0.612347
